x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-4.400000E-03,,,,
-4.397500E-03,+1.532818998E+00,+0.0E+00,+418.410242E-03,-12.834728E-03
-4.395000E-03,+1.498213002E+00,+0.0E+00,+257.148039E-03,-14.356695E-03
-4.392500E-03,+1.516692778E+00,+0.0E+00,-251.045823E-03,-13.061367E-03
-4.390000E-03,+1.481956029E+00,+0.0E+00,-159.518627E-03,-14.911088E-03
-4.387500E-03,+1.506276112E+00,+0.0E+00,-251.045823E-03,-12.832985E-03
-4.385000E-03,+1.473892919E+00,-2.179219E-03,-251.045823E-03,-13.301953E-03
-4.382500E-03,+1.522358748E+00,-32.165271E-03,+70.606895E-03,-7.981172E-03
-4.380000E-03,+1.537351774E+00,-57.357042E-03,-203.103006E-03,-9.755928E-03
-4.377500E-03,+1.518871997E+00,+41.753834E-03,+418.410242E-03,-14.065551E-03
-4.375000E-03,+1.506276112E+00,+55.177823E-03,+300.732418E-03,-14.963390E-03
-4.372500E-03,+1.497166977E+00,+0.0E+00,+236.227536E-03,-12.414575E-03
-4.370000E-03,+1.506276112E+00,-48.204322E-03,-251.045823E-03,-14.942469E-03
-4.367500E-03,+1.506276112E+00,+0.0E+00,-251.045823E-03,-10.271967E-03
-4.365000E-03,+1.534649542E+00,-25.714783E-03,-663.354050E-03,-15.038355E-03
-4.362500E-03,+1.506276112E+00,+62.674336E-03,-251.045823E-03,-14.728034E-03
-4.360000E-03,+1.507060631E+00,-1.569038E-03,-593.619044E-03,-19.429917E-03
-4.357500E-03,+1.506276112E+00,-66.945605E-03,+391.387927E-03,-12.158299E-03
-4.355000E-03,+1.472803310E+00,-27.283821E-03,+21.792391E-03,-11.752092E-03
-4.352500E-03,+1.472803310E+00,-57.269873E-03,-251.045823E-03,-10.904812E-03
-4.350000E-03,+1.516431272E+00,-46.635285E-03,+215.307034E-03,-15.254533E-03
-4.347500E-03,+1.506276112E+00,+0.0E+00,-251.045823E-03,-12.716179E-03
-4.345000E-03,+1.506276112E+00,+0.0E+00,-117.677623E-03,-16.605649E-03
-4.342500E-03,+1.561410351E+00,+0.0E+00,-14.818488E-03,-11.656207E-03
-4.340000E-03,+1.533385595E+00,+0.0E+00,-251.045823E-03,-14.218968E-03
-4.337500E-03,+1.521574229E+00,-36.349371E-03,-251.045823E-03,-11.438285E-03
-4.335000E-03,+1.539748915E+00,+0.0E+00,+418.410242E-03,-14.703627E-03
