x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-11.2100E-03,+1.5374378E+00,-64.6345E-03,-874.2798E-03,-14.5431E-03
-11.2000E-03,+1.5137576E+00,+0.0E+00,+418.4102E-03,-9.3724E-03
-11.1900E-03,+1.5558675E+00,+0.0E+00,-573.4169E-03,-9.9677E-03
-11.1800E-03,+1.4902377E+00,+0.0E+00,-251.0458E-03,-10.7113E-03
-11.1700E-03,+1.4728834E+00,+66.9456E-03,-251.0458E-03,-10.6985E-03
-11.1600E-03,+1.5732217E+00,+0.0E+00,+418.4102E-03,-13.3589E-03
-11.1500E-03,+1.5225549E+00,+0.0E+00,+92.8336E-03,-11.3258E-03
-11.1400E-03,+1.5139179E+00,-51.6620E-03,-767.6663E-03,-8.7610E-03
-11.1300E-03,+1.4403258E+00,+66.9456E-03,-231.1403E-03,-10.5521E-03
-11.1200E-03,+1.5159084E+00,+47.6809E-03,+225.7637E-03,-9.3724E-03
-11.1100E-03,+1.5032101E+00,-30.4068E-03,+53.0226E-03,-10.5887E-03
-11.1000E-03,+1.5266162E+00,-13.1327E-03,-789.1746E-03,-6.6689E-03
-11.0900E-03,+1.5083468E+00,+0.0E+00,-251.0458E-03,-6.6946E-03
-11.0800E-03,+1.5062761E+00,-45.5301E-03,+632.5651E-03,-10.7653E-03
-11.0700E-03,+1.4921481E+00,+28.2560E-03,-251.0458E-03,-10.3548E-03
-11.0600E-03,+1.5117671E+00,-66.9456E-03,-251.0458E-03,-8.4727E-03
-11.0500E-03,+1.5031300E+00,+0.0E+00,-251.0458E-03,-5.7332E-03
-11.0400E-03,+1.5180593E+00,-23.5663E-03,-251.0458E-03,-9.4475E-03
-11.0300E-03,+1.5266963E+00,+0.0E+00,+157.3584E-03,-7.4441E-03
-11.0200E-03,+1.5062761E+00,-58.1145E-03,+330.0995E-03,-8.0335E-03
-11.0100E-03,+1.5062761E+00,+0.0E+00,+333.9799E-03,-7.5389E-03
-11.0000E-03,+1.5062761E+00,-41.2285E-03,+161.2388E-03,-8.8580E-03
-10.9900E-03,+1.4728033E+00,+0.0E+00,+418.4102E-03,-14.7280E-03
-10.9800E-03,+1.5096162E+00,+0.0E+00,-184.2434E-03,-12.7211E-03
-10.9700E-03,+1.4781002E+00,+0.0E+00,-356.9844E-03,-11.6265E-03
-10.9600E-03,+1.5202101E+00,-27.8680E-03,-251.0458E-03,-9.1482E-03
-10.9500E-03,+1.5171779E+00,+0.0E+00,-484.4313E-03,-16.1590E-03
-10.9400E-03,+1.5420136E+00,+0.0E+00,-251.0458E-03,-9.2818E-03
-10.9300E-03,+1.5126485E+00,-66.9456E-03,-251.0458E-03,-11.7309E-03
-10.9200E-03,+1.5062761E+00,+0.0E+00,+118.2223E-03,-10.1109E-03
-10.9100E-03,+1.5200962E+00,-47.2929E-03,-251.0458E-03,-8.2668E-03
-10.9000E-03,+1.5385596E+00,+0.0E+00,-251.0458E-03,-14.4902E-03
-10.8900E-03,+1.5062761E+00,-104.1002E-03,-251.0458E-03,-13.2385E-03
-10.8800E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-11.4068E-03
-10.8700E-03,+1.5484999E+00,+0.0E+00,-76.0271E-03,-11.0001E-03
-10.8600E-03,+1.4728033E+00,+227.8E-06,-248.7682E-03,-9.3861E-03
-10.8500E-03,+1.5397489E+00,-49.8993E-03,+89.8811E-03,-7.0355E-03
-10.8400E-03,+1.4899635E+00,+34.3205E-03,-234.0928E-03,-11.3977E-03
-10.8300E-03,+1.5139516E+00,+0.0E+00,-251.0458E-03,-7.8118E-03
-10.8200E-03,+1.5407104E+00,+65.0225E-03,-251.0458E-03,-11.9733E-03
-10.8100E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-4.5878E-03
-10.8000E-03,+1.5427474E+00,+5.9970E-03,-251.0458E-03,-12.0502E-03
-10.7900E-03,+1.5194763E+00,-66.9456E-03,-788.4997E-03,-8.8255E-03
-10.7800E-03,+1.5042392E+00,-62.8717E-03,-251.0458E-03,-14.0762E-03
-10.7700E-03,+1.5169501E+00,+66.9456E-03,+204.9302E-03,-8.8874E-03
-10.7600E-03,+1.4921144E+00,-66.9456E-03,+135.1753E-03,-8.9604E-03
-10.7500E-03,+1.5342242E+00,-11.0494E-03,-140.5519E-03,-7.1365E-03
-10.7400E-03,+1.4759157E+00,+0.0E+00,+356.1630E-03,-9.4969E-03
-10.7300E-03,+1.4845527E+00,+0.0E+00,-450.5253E-03,-7.6345E-03
-10.7200E-03,+1.4858896E+00,+26.1727E-03,+10.6809E-03,-9.8958E-03
-10.7100E-03,+1.5062761E+00,-66.9456E-03,+329.4246E-03,-7.4996E-03
-10.7000E-03,+1.4477061E+00,+50.1945E-03,-167.2903E-03,-9.2049E-03
-10.6900E-03,+1.5140993E+00,+25.6497E-03,-251.0458E-03,-10.2855E-03
-10.6800E-03,+1.5612108E+00,-24.0218E-03,-10.8274E-03,-7.4506E-03
-10.6700E-03,+1.5062761E+00,+0.0E+00,+283.4556E-03,-9.3724E-03
-10.6600E-03,+1.5115393E+00,-56.4192E-03,-1.3794304E+00,-14.3070E-03
-10.6500E-03,+1.5454212E+00,-39.1451E-03,-251.0458E-03,-11.4942E-03
-10.6400E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-8.4442E-03
-10.6300E-03,+1.5039777E+00,-62.3487E-03,+464.3793E-03,-9.4643E-03
-10.6200E-03,+1.5126147E+00,+54.2684E-03,+291.6382E-03,-8.5406E-03
-10.6100E-03,+1.5397489E+00,+0.0E+00,-180.6160E-03,-12.0502E-03
-10.6000E-03,+1.5397489E+00,+0.0E+00,+418.4102E-03,-13.1504E-03
-10.5900E-03,+1.4740263E+00,+0.0E+00,-226.5851E-03,-4.3103E-03
-10.5800E-03,+1.5062761E+00,+14.8280E-03,-251.0458E-03,-12.7960E-03
-10.5700E-03,+1.5236978E+00,+0.0E+00,-251.0458E-03,-9.2627E-03
-10.5600E-03,+1.5062761E+00,-35.1387E-03,+242.7167E-03,-10.9960E-03
-10.5500E-03,+1.5062761E+00,+66.6504E-03,+415.4578E-03,-17.3822E-03
-10.5400E-03,+1.5397489E+00,-49.9667E-03,+248.6216E-03,-8.6932E-03
-10.5300E-03,+1.4899298E+00,-32.6926E-03,-251.0458E-03,-11.3964E-03
-10.5200E-03,+1.4985668E+00,+0.0E+00,-251.0458E-03,-12.4640E-03
-10.5100E-03,+1.5072039E+00,+65.0900E-03,-232.4900E-03,-7.9964E-03
-10.5000E-03,+1.4967113E+00,+0.0E+00,-59.7489E-03,-8.4164E-03
-10.4900E-03,+1.5062761E+00,+0.0E+00,-556.4639E-03,-6.3428E-03
-10.4800E-03,+1.5062761E+00,+13.2677E-03,+153.0562E-03,-5.6089E-03
-10.4700E-03,+1.5357425E+00,+62.9392E-03,-880.4378E-03,-5.5960E-03
-10.4600E-03,+1.5291087E+00,+0.0E+00,-38.2407E-03,-9.3724E-03
-10.4500E-03,+1.5397489E+00,+0.0E+00,+418.4102E-03,-9.1691E-03
